iter	Logloss
0	0.690648325
1	0.6888969824
2	0.6870513776
3	0.6850464976
4	0.6829622594
5	0.6815914398
6	0.6804882871
7	0.6790850047
8	0.6778275707
9	0.6764399861
10	0.6751100922
11	0.673886338
12	0.6731596595
13	0.6714867892
14	0.6701663865
15	0.6686280932
16	0.6670933232
17	0.666237402
18	0.6653297155
19	0.664039054
20	0.6631025801
21	0.6620949658
22	0.6613808415
23	0.6606907705
24	0.6593307077
25	0.6582151573
26	0.6576095789
27	0.6567693402
28	0.6560571692
29	0.6553495253
30	0.6541489158
31	0.6529597701
32	0.6519669966
33	0.6506590683
34	0.6496342994
35	0.6488668552
36	0.6478596214
37	0.6468132385
38	0.646067826
39	0.6454349857
40	0.6449111373
41	0.6440081891
42	0.6434583541
43	0.6428043464
44	0.641993401
45	0.6415706746
46	0.6410879371
47	0.6406974883
48	0.6399970595
49	0.6397529532
50	0.6390342504
51	0.6382832419
52	0.6377939684
53	0.6374170609
54	0.6369971027
55	0.6362604012
56	0.6358415394
57	0.6354781936
58	0.6344399815
59	0.6340812093
60	0.6337383878
61	0.6332389871
62	0.6328202174
63	0.6323088309
64	0.6319197782
65	0.6312189195
66	0.6306127966
67	0.6301894826
68	0.6299400351
69	0.6293219006
70	0.6289352036
71	0.628325517
72	0.6281587729
73	0.6276741649
74	0.6272208267
75	0.6268040627
76	0.6262845237
77	0.6260001586
78	0.6255474778
79	0.6251097892
80	0.6246694142
81	0.624317731
82	0.6239526674
83	0.623413525
84	0.623119593
85	0.6227561983
86	0.6223852907
87	0.6221217715
88	0.6214350048
89	0.6211998872
90	0.6207170504
91	0.6202397158
92	0.6200179256
93	0.6196171059
94	0.619302657
95	0.618898543
96	0.6186734735
97	0.6184687562
98	0.6180902373
99	0.6178225327
100	0.617585072
101	0.6174632492
102	0.617119774
103	0.6168478813
104	0.6166737446
105	0.616471505
106	0.6159886962
107	0.6157894149
108	0.6155435495
109	0.6150734221
110	0.6145432858
111	0.6140685057
112	0.613817421
113	0.6134345933
114	0.6132682693
115	0.6127391297
116	0.6123832128
117	0.6121663107
118	0.6117172823
119	0.6114177109
120	0.6110769837
121	0.6108309746
122	0.6106569324
123	0.6103140211
124	0.6100761775
125	0.6098094811
126	0.6095413588
127	0.6092259584
128	0.608794549
129	0.608599567
130	0.6083075996
131	0.6079491346
132	0.6076981467
133	0.6074943586
134	0.6073518607
135	0.6070974304
136	0.6069328381
137	0.6065385375
138	0.6064040818
139	0.6060223192
140	0.6057993833
141	0.6056350982
142	0.6053255726
143	0.6051480477
144	0.6048840565
145	0.6047463221
146	0.6045931141
147	0.6043964661
148	0.604240423
149	0.6039929285
150	0.6037824594
151	0.6033786217
152	0.6030658366
153	0.6028116624
154	0.6026332631
155	0.6024688048
156	0.6023142324
157	0.6021029929
158	0.6019446592
159	0.6017053562
160	0.6013759976
161	0.6011642201
162	0.6008444625
163	0.6006952864
164	0.6004049496
165	0.6001245044
166	0.5999971981
167	0.5997898597
168	0.5996524338
169	0.5994947392
170	0.5993250174
171	0.5990765575
172	0.5989427078
173	0.5987551529
174	0.5986394604
175	0.5984122824
176	0.5981602545
177	0.5979273888
178	0.5977895429
179	0.5974320433
180	0.5972969608
181	0.5970440398
182	0.5968813347
183	0.5966025165
184	0.5964472638
185	0.5963101622
186	0.5961331621
187	0.5959300159
188	0.5957811055
189	0.5956407804
190	0.5954352304
191	0.5952221337
192	0.5951237526
193	0.5947773378
194	0.5944555624
195	0.5943370972
196	0.5941354166
197	0.5940430946
198	0.5937680934
199	0.5936364806
200	0.593441863
201	0.593192324
202	0.5929435471
203	0.5927942881
204	0.5924863902
205	0.5923707968
206	0.5920914937
207	0.5916966276
208	0.5915632843
209	0.5914372316
210	0.5911178916
211	0.5910147146
212	0.5908285565
213	0.5906202115
214	0.590304178
215	0.5900259696
216	0.5898210142
217	0.5896209846
218	0.5894839102
219	0.5893538372
220	0.5891057487
221	0.5889623245
222	0.5888218515
223	0.5886091871
224	0.588362769
225	0.5882320554
226	0.5878261123
227	0.5875477699
228	0.587268459
229	0.5871538727
230	0.5870315426
231	0.5868071976
232	0.5865185849
233	0.5863767439
234	0.5861884908
235	0.5860129835
236	0.5856748248
237	0.5855018247
238	0.5852435403
239	0.5851040319
240	0.5848647423
241	0.584472479
242	0.5843853362
243	0.5842235686
244	0.5841536609
245	0.5840066244
246	0.5837719198
247	0.5835832761
248	0.5833985195
249	0.58309208
250	0.5829768261
251	0.5823929475
252	0.5820894313
253	0.5818784455
254	0.5816627892
255	0.581325473
256	0.5810880065
257	0.5809854733
258	0.5808110683
259	0.5806311834
260	0.5803810638
261	0.5802532788
262	0.5800701721
263	0.5798729225
264	0.5796737929
265	0.5792758129
266	0.5790701842
267	0.5787458358
268	0.5784098071
269	0.5782392128
270	0.5780170672
271	0.5777051247
272	0.5775351321
273	0.57719928
274	0.5769624128
275	0.5767507162
276	0.576528317
277	0.5762917829
278	0.5761155567
279	0.5757650546
280	0.5754928964
281	0.5752361064
282	0.5750276754
283	0.574905604
284	0.5746572707
285	0.5742596353
286	0.5739744689
287	0.5736563552
288	0.573499665
289	0.5732879652
290	0.5729862052
291	0.5728010903
292	0.5726036578
293	0.5723792177
294	0.5721842695
295	0.5719494753
296	0.5716938027
297	0.5714949682
298	0.5712114178
299	0.5709888271
